id,name,initiate,aggro,affiliation,q,r,atk,def,spd,hp,item,style,fruit_id,block,dodge,trap,move1,type1,tags1,move2,type2,tags2,move3,type3,tags3,move4,type4,tags4,url,url win
smoker,Captain Smoker,1,3,m,22,-16,550,619,510,595,,,moku,,,,White Blow,,HEAVY QUICK,White Snake,,MEDIUM PRECISE FOCUSED,White Out,,HEAVY SLOW PRECISE,White Spark,,CRUSHER SLOW PRECISE ,,
jango,Jango,0,1,m,,,,,,,,,,,,,,,,,,,,,,,,,,
kuro,Kuro,0,2,p,,,,,,,,,,,,,,,,,,,,,,,,,,
buggy,Buggy the Clown,0,3,p,,,,,,,,,bara,,,,,,,,,,,,,,,,,
cabaji,Cabaji,0,3,p,,,,,,,,,,,,,,,,,,,,,,,,,,
mohji,Mohji,0,2,p,,,,,,,,,,,,,,,,,,,,,,,,,,
arlong,Arlong,0,3,p,,,,,,,,,,,,,,,,,,,,,,,,,,
don,Don Krieg,2,3,p,,,110,150,90,200,,,,,,,,,,,,,,,,,,,,
lucci,Lucci,0,3,m,22,-15,450,490,520,470,,rokushiki,leopard,Iron Body,,,Rankyaku: Hyoubi,1,SLOW HEAVY FOCUSED SHARPEYE,Tobu Shigan: Hibachi,2,HEAVY QUICK MULTI,Tekkai: Utsugi,,HEAVY QUICK,Saidirin: Roku Ou Gan,,CRUSHER QUICK TELEGRAPHED PRECISE,,
kaku,Kaku,0,3,c,,,400,480,440,420,,rokushiki,giraffe,Iron Body,,,,,,,,,,,,,,,,
jabra,Jabra,0,3,c,,,,,,,,rokushiki,wolf,Iron Body,,,,,,,,,,,,,,,,
kalifa,Kalifa,0,3,c,,,,,,,,rokushiki,soap,Iron Body,,,,,,,,,,,,,,,,
blueno,Blueno,0,3,c,,,,,,,,rokushiki,door,Iron Body,,,,,,,,,,,,,,,,
spanda,Spandam,0,3,c,22,-15,10,10,10,100,sword,,,,,,Punch,,,,,,,,,,,,,
yoyoi,Kumadori,,,c,,,,,,,,rokushiki,,Iron Body,,,,,,,,,,,,,,,,
chapapa,Fukuro,,,c,,,,,,,,rokushiki,,Iron Body,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teach,Blackbeard,2,3,p,,,960,735,711,888,,,yami,,,,,,,,,,,,,,,,,
jesus,Jesus Burgess,,3,p,,,,,,,,,,,,,,,,,,,,,,,,,,
doc,Doc Q,,3,p,,,,,,,,,sick,,,,,,,,,,,,,,,,,
laffitte,Laffitte,,3,p,,,,,,,,,,,,,,,,,,,,,,,,,,
shiryu,Shiryu,2,3,p,,,,,,,,,,,,,,,,,,,,,,,,,,
auger,Van Auger,0,3,p,,,,,,,,,warp,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newgate,Whitebeard,0,3,p,,,1000,920,815,915,,,gura,,,,,,,,,,,,,,,,,
pheonix,Marco,,,p,,,,,,,,,phoenix,,,,,,,,,,,,,,,,,
diamond,Jozu,,,p,,,,,,,,,diamond,,,,,,,,,,,,,,,,,
real wss,Vista,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
izou,Izou,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
whitey bay,Whitey Bay,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuma,Bartholomew Kuma,,,p,22,-15,660,720,810,850,,,paw,,,,,,,Pad Hou,,HEAVY BURST,Tsuppari Pad Hou,,HEAVY BARRAGE,Urusus Shock,,CRUSHER SLUGGISH PRECISE HOMING,,
doffy,Donquixote Doflamingo,,,p,,,580,667,610,660,,,ito,,,,Goshikiito,1,HEAVY QUICK SHARPEYE,Overheat,,CRUSHER QUICK INACCURATE ,Parasite,,TRAP QUICK PRECISE ,Tamaito,2,MEDIUM BURST PRECISE,,
boa,Boa Hancock,,,p,,,620,580,660,635,,,mero,,,,Mero Mero Merrow,,TRAP BURST,Perfule Femur,,HEAVY QUICK FOCUSED,Pistol Kiss,2,MEDIUM BURST SHARPEYE,Slave Arrow,2,HEAVY QUICK SHARPEYE,,
winbe,Jinbe,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
croco,Crocodile,,,p,,,636,640,580,685,,,suna,,,,,,,,,,,,,,,,,
moria,Gecko Moria,,,p,,,466,733,225,712,,,kage,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
issho,Fujitora,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,Ryokugyu,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linlin,Big Mom,0,3,p,,,936,980,689,982,,,soul,,,,,,,,,,,,,,,,,
kata,Charlotte Katakuri,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
smoothie,Charlotte Smoothie,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
cracker,Charlotte Cracker,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
pedophile,Charlotte Perospero,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
daifuku,Charlotte Daifuku,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
oven,Charlotte Oven,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
law,Trafalgar Law,0,2,p,,,655,590,712,685,,room,ope,,,,Shambles,,law_shambles,Counter Shock,,HEAVY BURST,Radio Knife,1,HEAVY QUICK PRECISE,Gamma Knife,2,CRUSHER TELEGRAPHED PRECISE,,
bepo,Bepo,0,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kidd,Eustass Captain Kidd,2,3,p,,,710,605,585,701,,,jiki,,,,,,,,,,,,,,,,,
killer,Killer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hawkins,Basil Hawkins,0,2,p,,,,,,,,,wara,,,,,,,,,,,,,,,,,
bonney,Jewellery Bonney,0,2,p,,,,,,,,,,,,,,,,,,,,,,,,,,
bege,Capone Gang Bege,0,3,p,,,,,,,,,shiro,,,,,,,,,,,,,,,,,
apoo,Apoo,0,3,p,,,,,,,,,,,,,,,,,,,,,,,,,,
urouge,Mad Monk Urouge,0,3,p,,,,,,,,,,,,,,,,,,,,,,,,,,
drake,X Drake,0,3,p,,,,,,,,,allosaurus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayleigh,Silvers Rayleigh,0,2,p,,,,,,,,,,,,,,,,,,,,,,,,,,
gaban,Scopper Gaban,0,3,p,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shura,Shura,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
ohm,Ohm,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
fatso,Satori,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
gedatsu,Gedatsu,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulti,Ulti,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
spider,Black Maria,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
drought,Jack,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
alber,King,0,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
queen,Queen,0,2,p,22,-15,,,,,,,,,,,,,,,,,,,,,,,,
spino,Page One,0,2,p,22,-15,,,,,,,,,,,a chomp,,,,,,,,,,,,,
sasaki,Sasaki,0,2,p,22,-15,,,,,,,,his horn thingy,,,his horns,2,,a stomp,,,,,,,,,,
ulti,Ulti,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
maria,Black Maria,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,
who,Who's Who,0,2,p,22,-15,,,,,,,,,,,,,,,,,,,,,,,,
wsc,Kaido,0,3,p,22,-15,880,1000,719,1000,,,seiryu,,,,Thunder Bagua,,HEAVY QUICK,Conquerer of the Three Worlds,,CRUSHER PRECISE QUICK EXHAUSTING,BLAST BREATH,2,HEAVY QUICK INACCURATE,,,,,
kanjuro,Kanjuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denjiro,Denjiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raizo,Raizo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shinobu,Shinobu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doji,Ashura Doji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiku,Kiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kappa,Kawamatsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog,Inuarashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat,Nekomamushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
judge,Vinsmoke Judge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ichiji,Vinsmoke Ichiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
niji,Vinsmoke Niji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yonji,Vinsmoke yonji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reiju,Vinsmoke Reiju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garp,Monkey D Garp,,,,,,,,,,,,,,,,Galaxy Impact,,,Galaxy Divider,,,Meteor fist,,,,,,,
fraud,Sengoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hina,Hina,,,,,,,,,,,,,,,,Kimono Sleeve Cage,,,,,,,,,,,,,
sigma,Momonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koby,Koby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
help,Helmeppo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hibari,Hibari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kujaku,Kujaku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grus,Prince Grus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tashigi,Tashigi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cora,Corazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trebol,Trebol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diamante,Diamante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pica,Pica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corazon,Vergo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giolla,Giolla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dellinger,Dellinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machvise,Machvise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby,Baby 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bufallo,Bufallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gladius,Gladius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senor,Senor Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monet,Monet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rebecca,Rebecca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyros,Kyros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonney,Bonney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hachi,Hatchan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kurobi,Kuroobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chew,Chew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hody,Hody Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dosun,Dosun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daruma,Daruma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyouzou,Hyouzou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foxy,Foxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
porche,Porche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburg,Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alvida,Alvida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bellamy,Bellamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wapol,Wapol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chess,Chess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marimo,Kuromarimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hajrudin,Hajrudin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,Cavendish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bart,Bartolomeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orlombus,Orlombus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sai,Sai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ideo,Ideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suleiman,Suleiman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farul,Farul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jorul,Jorul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jarul,Jarul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dorry,Dorry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broggy,Broggy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loki,Loki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
